,city_state_country,geopy location,coordinates
238,"New Canaan, CT, USA","New Canaan, Fairfield County, Connecticut, 06840, United States","(41.146763, -73.4948446)"
239,"Stamford, CT, USA","Stamford, Fairfield County, Connecticut, United States","(41.0534302, -73.5387341)"
240,"Pawcatuck, CT, USA","Pawcatuck, New London County, Connecticut, 06379, United States","(41.3766695, -71.84612335442205)"
241,"Union, CT, USA","Union, Tolland County, Connecticut, United States","(41.9909296, -72.1572992)"
242,"East Haven, CT, USA","East Haven, New Haven County, Connecticut, United States","(41.2762081, -72.8684337)"
243,"Coventry, CT, USA","Coventry, Tolland County, Connecticut, United States","(41.7700987, -72.3050803)"
244,"Monroe, CT, USA","Monroe, Fairfield County, Connecticut, United States","(41.3325962, -73.2073358)"
245,"Tolland, CT, USA","Tolland, Tolland County, Connecticut, 06084, United States","(41.8700166, -72.3677153)"
246,"Stonington, CT, USA","Stonington, New London County, Connecticut, United States","(41.3359327, -71.9059042)"
247,"North Stonington, CT, USA","North Stonington, New London County, Connecticut, United States","(41.4411845, -71.8812698)"
248,"Waterford, CT, USA","Waterford, New London County, Connecticut, 06385, United States","(41.358659, -72.1519367)"
249,"Chaplin, CT, USA","Chaplin, Windham County, Connecticut, United States","(41.7948205, -72.1272989)"
250,"Newington, CT, USA","Newington, Hartford County, Connecticut, United States","(41.6978777, -72.7237063)"
251,"Shelton, CT, USA","Shelton, Fairfield County, Connecticut, United States","(41.3164856, -73.0931641)"
252,"Harwinton, CT, USA","Harwinton, Litchfield County, Connecticut, 06791, United States","(41.7712085, -73.05983)"
253,"West Willington, CT, USA","West Willington, Willington, Tolland County, Connecticut, 06279, United States","(41.8812085, -72.3020246)"
254,"Bristol, CT, USA","Bristol, Hartford County, Connecticut, United States","(41.6735209, -72.9464859)"
255,"West Haven, CT, USA","West Haven, New Haven County, Connecticut, United States","(41.2706527, -72.9470471)"
256,"Farmington, CT, USA","Farmington, Hartford County, Connecticut, United States","(41.7198216, -72.8320435)"
257,"Andover, CT, USA","Andover, Tolland County, Connecticut, 06232, United States","(41.7373212, -72.37036)"
258,"Vernon, CT, USA","Vernon, Tolland County, Connecticut, United States","(41.8382921, -72.4663331)"
259,"Manchester, CT, USA","Manchester, Hartford County, Connecticut, United States","(41.7834017, -72.5231973)"
260,"Niantic, CT, USA","Niantic, East Lyme, New London County, Connecticut, United States","(41.32127855, -72.19335673628396)"
261,"Lebanon, CT, USA","Lebanon, New London County, Connecticut, United States","(41.6362097, -72.2125789)"
262,"Thompson, CT, USA","Thompson, Windham County, Connecticut, United States","(41.9587089, -71.8625715)"
263,"New Fairfield, CT, USA","New Fairfield, Fairfield County, Connecticut, 06812, United States","(41.4664832, -73.4856789)"
264,"New Britain, CT, USA","New Britain, Hartford County, Connecticut, United States","(41.6612104, -72.7795419)"
