,city_state_country
5895,"FORT MYERS, FL, USA"
5896,"FORT PIERCE, FL, USA"
5897,"FRUITLAND, FL, USA"
5898,"GRAND RIDGE, FL, USA"
5899,"INDIALANTIC, FL, USA"
5900,"INGLIS, FL, USA"
5901,"JACKSONVILLE, FL, USA"
5902,"JACKSONVILLE BCH, FL, USA"
5903,"JUPITER, FL, USA"
5904,"KEY WEST, FL, USA"
5905,"LAKE CITY, FL, USA"
5906,"LAKE MARY, FL, USA"
5907,"LAKELAND, FL, USA"
5908,"LARGO, FL, USA"
5909,"LEESBURG, FL, USA"
5910,"LONGWOOD, FL, USA"
5911,"LOXAHATCHEE, FL, USA"
5912,"LUTZ, FL, USA"
5913,"MARIANNA, FL, USA"
5914,"MARY ESTHER, FL, USA"
5915,"MIDDLEBURG, FL, USA"
5916,"MILTON, FL, USA"
5917,"NAPLES, FL, USA"
5918,"NAVARRE, FL, USA"
5919,"NEPTUNE BCH, FL, USA"
5920,"NEW SYMERNA BCH, FL, USA"
5921,"NOKOMIS, FL, USA"
5922,"OCALA, FL, USA"
5923,"ORANGE BCH, FL, USA"
5924,"ORANGE PARK, FL, USA"
5925,"ORLANDO, FL, USA"
5926,"PALM CITY, FL, USA"
5927,"Palm Coast, FL, USA"
5928,"PALM HARBOR, FL, USA"
5929,"PANAMA CITY BCH, FL, USA"
5930,"PENSACOLA, FL, USA"
5931,"POMPANO BCH, FL, USA"
5932,"PORT CHARLOTTE, FL, USA"
5933,"PORT ST JOE, FL, USA"
5934,"ROCKLEDGE, FL, USA"
5935,"SANIBEL, FL, USA"
5936,"SEBASTIAN, FL, USA"
5937,"SEBRING, FL, USA"
5938,"SPRING HILL, FL, USA"
5939,"SUMMERFIELD, FL, USA"
5940,"SUNCITY CENTER, FL, USA"
5941,"TALLAHASSEE, FL, USA"
5942,"TAMPA, FL, USA"
5943,"THE VILLAGES, FL, USA"
5944,"VENICE, FL, USA"
5945,"VERO BEACH, FL, USA"
5946,"WESTON, FL, USA"
5947,"WILMETTE, FL, USA"
5948,"WINDERMERE, FL, USA"
5949,"WINTER GARDEN, FL, USA"
5950,"WINTER SPRINGS, FL, USA"
5951,"BLOOMSBURG, FL, USA"
5952,"BLOUNTSTOWN, FL, USA"
5953,"BOYTON BCH, FL, USA"
5954,"BRADENTON, FL, USA"
5955,"BRANDENTON, FL, USA"
5956,"CLEARWATER, FL, USA"
5957,"CLERMONT, FL, USA"
5958,"Crestview, FL, USA"
5959,"DELRAY BEACH, FL, USA"
5960,"FT. MYERS, FL, USA"
5961,"GULF BREEZE, FL, USA"
5962,"HERNANDO, FL, USA"
5963,"HOBE SOUND, FL, USA"
5964,"LADY LAKE, FL, USA"
5965,"LAKE BUENA VISTA, FL, USA"
5966,"MYAKKA CITY, FL, USA"
5967,"OLDSMAR, FL, USA"
5968,"OVIEDO, FL, USA"
5969,"PALM BEACH, FL, USA"
5970,"Palm Beach, FL, USA"
5971,"PALM ISLAND, FL, USA"
5972,"PARKLAND, FL, USA"
5973,"Pensacola, FL, USA"
5974,"POMPANO BEACH, FL, USA"
5975,"PONTE VEDRA BEACH, FL, USA"
5976,"PORT ST LUCIE, FL, USA"
5977,"SANFORD, FL, USA"
5978,"SARASOTA, FL, USA"
5979,"SEFFNER, FL, USA"
5980,"ST JAMES CITY, FL, USA"
5981,"ST PETERSBURG, FL, USA"
5982,"ST. AUGUSTINE, FL, USA"
5983,"The Villages, FL, USA"
5984,"WINTER PARK, FL, USA"
5985,"Altamonte Springs, FL, USA"
5986,"APOPKA, FL, USA"
5987,"ATLANTIC BCH, FL, USA"
5988,"COCOA, FL, USA"
5989,"COOPER CITY, FL, USA"
5990,"Edgewater, FL, USA"
5991,"EDGEWATER, FL, USA"
5992,"JACKSONVILEE, FL, USA"
5993,"KEY LARGO, FL, USA"
5994,"MCDAVID, FL, USA"
5995,"Melbourne, FL, USA"
5996,"MIAMI BEACH, FL, USA"
5997,"MIMS, FL, USA"
5998,"MIRAMAR BCH, FL, USA"
5999,"NOBELTON, FL, USA"
6000,"PALMETTO, FL, USA"
6001,"PORT ST. LUCIE, FL, USA"
6002,"RAIFORD, FL, USA"
6003,"SAFETY HARBOR, FL, USA"
6004,"ALFORD, FL, USA"
6005,"BEVERLY HILLS, FL, USA"
6006,"BIG PINE KEY, FL, USA"
6007,"Brandon, FL, USA"
6008,"CANTONMENT, FL, USA"
6009,"CHIEFLAND, FL, USA"
6010,"COCONUT CREEK, FL, USA"
6011,"CRYSTAL RIVER, FL, USA"
6012,"DANIA BEACH, FL, USA"
6013,"DAVENPORT, FL, USA"
6014,"FORT WALTON BEACH, FL, USA"
6015,"HOLLYWOOD, FL, USA"
6016,"INVERNESS, FL, USA"
6017,"ISLAMORADA, FL, USA"
6018,"JACKSONVILLE BEACH, FL, USA"
6019,"LAKE WALES, FL, USA"
6020,"LEHIGH ACRES, FL, USA"
6021,"MAITLAND, FL, USA"
6022,"MARCO ISLAND, FL, USA"
6023,"MERRITT ISLAND, FL, USA"
6024,"MIAMI, FL, USA"
6025,"MICANOPY, FL, USA"
6026,"NEW PORT RICHEY, FL, USA"
6027,"ORMOND BEACH, FL, USA"
6028,"PLANTATION, FL, USA"
6029,"RIVERVIEW, FL, USA"
6030,"ROYAL PALM BEACH, FL, USA"
6031,"SEMINOLE, FL, USA"
6032,"ST AUGUSTINE, FL, USA"
6033,"WEIRSDALE, FL, USA"
6034,"WEST PALM BCH, FL, USA"
6035,"WOODBINE, FL, USA"
6036,"BELLEVIEW, FL, USA"
6037,"BEVERLY HILL, FL, USA"
6038,"CITRUS SPRINGS, FL, USA"
6039,"DELAND, FL, USA"
6040,"EDGE WATER, FL, USA"
6041,"FORT CHARLOTTE, FL, USA"
6042,"FROST PROOF, FL, USA"
6043,"FT.MYERS, FL, USA"
6044,"HAVANA, FL, USA"
6045,"KENANSVILLE, FL, USA"
6046,"LAKE WORTH, FL, USA"
6047,"MARY Esther, FL, USA"
6048,"MELBOURNE, FL, USA"
6049,"N FT. MYERS, FL, USA"
6050,"NEW SMYRNA BCH, FL, USA"
6051,"NICEVILLE, FL, USA"
6052,"PALM BAY, FL, USA"
6053,"S. ORANJE, FL, USA"
6054,"SAINT JAMES CITY, FL, USA"
6055,"ST. PETERSBURG BCH, FL, USA"
6056,"SUMMERFIELDS, FL, USA"
6057,"SUN CITY CENTER, FL, USA"
6058,"TARPOM SPRINGS, FL, USA"
6059,"VERO BCH, FL, USA"
6060,"WILLISTON, FL, USA"
6061,"WINTER HAVEN, FL, USA"
6062,"Belle View, FL, USA"
6063,"Bokeelia, FL, USA"
6064,"Bristol, FL, USA"
6065,"Brooksville, FL, USA"
6066,"Cape Coral, FL, USA"
6067,"Cape May, FL, USA"
6068,"Cocoa, FL, USA"
6069,"Cocoa Beach, FL, USA"
6070,"Coral Gables, FL, USA"
6071,"Daven Port, FL, USA"
6072,"Defuniak Springs, FL, USA"
6073,"Deland, FL, USA"
6074,"Eustis, FL, USA"
6075,"Flagler Beach, FL, USA"
6076,"Havana, FL, USA"
6077,"Hawthorne, FL, USA"
6078,"Homestead, FL, USA"
6079,"Jackosnville, FL, USA"
6080,"Jasper, FL, USA"
6081,"Jupiter, FL, USA"
6082,"Key Largo, FL, USA"
6083,"Lady Lake, FL, USA"
6084,"Lake Butler, FL, USA"
6085,"Lake City, FL, USA"
6086,"Land O' Lakes, FL, USA"
6087,"Litchfield, FL, USA"
6088,"Monticello, FL, USA"
6089,"Myakka City, FL, USA"
6090,"Niceville, FL, USA"
6091,"Ocala, FL, USA"
6092,"Odessa, FL, USA"
6093,"Okeechobee, FL, USA"
6094,"Oviedo, FL, USA"
6095,"Palm Harbor, FL, USA"
6096,"Panama City, FL, USA"
6097,"Parkland, FL, USA"
6098,"Port Charlotte, FL, USA"
6099,"Port St. Lucie, FL, USA"
6100,"Quincy, FL, USA"
6101,"Reddick, FL, USA"
6102,"Sanibel, FL, USA"
6103,"Sanibel Island, FL, USA"
6104,"Santa Rosa Beach, FL, USA"
6105,"South Daytona, FL, USA"
6106,"Southport, FL, USA"
6107,"ST. PETERSBURG, FL, USA"
6108,"Starke, FL, USA"
6109,"Tavernier, FL, USA"
6110,"Thomasville, FL, USA"
6111,"Valrico, FL, USA"
6112,"Winter Park, FL, USA"
6113,"ACADIA, FL, USA"
6114,"Cape coral, FL, USA"
6115,"Cedar Key, FL, USA"
6116,"Chuluota, FL, USA"
6117,"FLAGLER BCH, FL, USA"
6118,"Floral City, FL, USA"
6119,"GAINESVILLE, FL, USA"
6120,"GREEN COVE SPRINGS, FL, USA"
6121,"JENSEN BCH, FL, USA"
6122,"Longwood, FL, USA"
6123,"MCAPLIN, FL, USA"
6124,"Medford, FL, USA"
6125,"Miami Springs, FL, USA"
6126,"MULBERRY, FL, USA"
6127,"PALM COAST, FL, USA"
6128,"PLAM BCH GARDENS, FL, USA"
6129,"TRINITY, FL, USA"
6130,"WESLEY CHAPEL, FL, USA"
6131,"WEST PALM BEACH, FL, USA"
6132,"YARMOUTH, FL, USA"
6133,"ALVA, FL, USA"
6134,"APALACHICOLA, FL, USA"
6135,"BABSON PARK, FL, USA"
6136,"BELL, FL, USA"
6137,"CEDAR KEY, FL, USA"
6138,"CITRA, FL, USA"
6139,"CRAWFORDVILLE, FL, USA"
6140,"DUNEDIN, FL, USA"
6141,"FRUITLAND PARK, FL, USA"
6142,"FT. LAUDERDALE, FL, USA"
6143,"HOMOSASSA, FL, USA"
6144,"LANDO LAKES, FL, USA"
6145,"NEWBERRY, FL, USA"
6146,"ST JOHNS, FL, USA"
6147,"STUART, FL, USA"
6148,"VALRICE, FL, USA"
6149,"WEEKI WACHEE, FL, USA"
6150,"BOKEELIA, FL, USA"
6151,"BUSHNELL, FL, USA"
6152,"DEERFIELD BEACH, FL, USA"
6153,"DELTONA, FL, USA"
6154,"FLAGER BEACH, FL, USA"
6155,"FT. PIERCE, FL, USA"
6156,"NEW SMYRNA BEACH, FL, USA"
6157,"OAK HILL, FL, USA"
6158,"ORMOND BCH, FL, USA"
6159,"POWELL, FL, USA"
6160,"PUNTA GORDA, FL, USA"
6161,"SATELLITE BEACH, FL, USA"
6162,"SOUTH MIAMI, FL, USA"
6163,"SOUTHWEST RANCHES, FL, USA"
6164,"TRENT WOODS, FL, USA"
6165,"WELLINGTON, FL, USA"
6166,"WILDWOOD, FL, USA"
6167,"AVON PARK, FL, USA"
6168,"BOYNTON BEACH, FL, USA"
6169,"CAPE HAZEL, FL, USA"
6170,"DADE CITY, FL, USA"
6171,"FORT WHITE, FL, USA"
6172,"MACCLENNY, FL, USA"
6173,"NEW SYMRNA BEACH, FL, USA"
6174,"NORTH FORT MYERS, FL, USA"
6175,"OAKLAND PARK, FL, USA"
6176,"OCOEE, FL, USA"
6177,"PLANT CITY, FL, USA"
6178,"PORT ORANGE, FL, USA"
6179,"SUNRISE, FL, USA"
6180,"UMATILLA, FL, USA"
6181,"VALRICO, FL, USA"
6182,"VERDA BCH, FL, USA"
6183,"W PALM BEACH, FL, USA"
6184,"ANNA MARIA, FL, USA"
6185,"ATLANTIC BEACH, FL, USA"
6186,"BOCA RARON, FL, USA"
6187,"CHULOUTA, FL, USA"
6188,"CITY OF VENICE, FL, USA"
6189,"CONTONMENT, FL, USA"
6190,"DEERFIELD BCH, FL, USA"
6191,"EATON PARK, FL, USA"
6192,"ENGLEWOOD, FL, USA"
6193,"EUSTIS, FL, USA"
6194,"FERNANDINA BEACH, FL, USA"
6195,"FT LAUDERDALE, FL, USA"
6196,"GLEN ST MARY, FL, USA"
6197,"HILLIARD, FL, USA"
6198,"HOLIDAY, FL, USA"
6199,"INDIAN HARBOUR BEACH, FL, USA"
6200,"LANTANA, FL, USA"
6201,"LECANTO, FL, USA"
6202,"LIVE OAK, FL, USA"
6203,"MALABAR, FL, USA"
6204,"MARY ESTER, FL, USA"
6205,"MINNEOLA, FL, USA"
6206,"NEW SYMERNA BEACH, FL, USA"
6207,"NORTH PORT, FL, USA"
6208,"OAKHILL, FL, USA"
6209,"PAHOKEE, FL, USA"
6210,"PALM BEACH GARDENS, FL, USA"
6211,"PANAMA CITY BEACH, FL, USA"
6212,"PINELLAS PARK, FL, USA"
6213,"POMONA PARK, FL, USA"
6214,"RIVERA BCH, FL, USA"
6215,"SATELLITE BCH, FL, USA"
6216,"SPRINGHILL, FL, USA"
6217,"SUGARLOAF KEY, FL, USA"
6218,"TITUSVILLE, FL, USA"
6219,"TREASURE ISLAND, FL, USA"
6220,"YANKEETOWN, FL, USA"
6221,"YULEE, FL, USA"
6222,"ODESSA, FL, USA"
6223,"HAINES CITY, FL, USA"
6224,"OCKLAWAHA, FL, USA"
6225,"PERRY, FL, USA"
6226,"CAPE SAN BLAS, FL, USA"
6227,"FERANDINA BEACH, FL, USA"
6228,"PINECREST, FL, USA"
6229,"CHULUOTA, FL, USA"
6230,"VILLAGES, FL, USA"
6231,"CANABELLE, FL, USA"
6232,"FLORAL CITY, FL, USA"
6233,"GENEVA, FL, USA"
6234,"ORANGE CITY, FL, USA"
6235,"LAKE HELEN, FL, USA"
6236,"TARPON SPRINGS, FL, USA"
6237,"QUINCY, FL, USA"
6238,"OKEECHOBEE, FL, USA"
6239,"LAND O LAKES, FL, USA"
6240,"SATSUMA, FL, USA"
6241,"SEBING, FL, USA"
6242,"KISSIMMEE, FL, USA"
6243,"QUNICY, FL, USA"
6244,"MOUTH PLYMOUTH, FL, USA"
6245,"NEWINGTON, FL, USA"
6246,"LAKE MONROE, FL, USA"
6247,"BALTIMORE, FL, USA"
6248,"ARCHER, FL, USA"
6249,"SOUTH PONTE VEDRA, FL, USA"
6250,"FELDA, FL, USA"
6251,"FLEMING ISLAND, FL, USA"
6252,"FT MYERS, FL, USA"
6253,"APOLLO BEACH, FL, USA"
6254,"TAVERNIER, FL, USA"
6255,"MIAMI-DADE, FL, USA"
6256,"BARTOW, FL, USA"
6257,"BUNNELL, FL, USA"
6258,"OSTEEN, FL, USA"
6259,"CINCINNATI, FL, USA"
6260,"BELLEAIR, FL, USA"
6261,"ST PETE BEACH, FL, USA"
6262,"PIONTE VEDRA, FL, USA"
6263,"BIRMINGHAM, FL, USA"
6264,"BIG PINE, FL, USA"
6265,"CUTLER BAY, FL, USA"
6266,"CORAL GABLES, FL, USA"
6267,"NEW SMYERNA BEACH, FL, USA"
6268,"WEST MELBOURNE, FL, USA"
6269,"LABELLE, FL, USA"
6270,"AVENTURA, FL, USA"
6271,"PLYMOUTH, FL, USA"
6272,"AUBURNDALE, FL, USA"
6273,"GRAND ISLAND, FL, USA"
6274,"DAYTONA BEACH SHORES, FL, USA"
6275,"LONG BOAT KEY, FL, USA"
6276,"TAMARAC, FL, USA"
6277,"PARRISH, FL, USA"
6278,"GARDEN CITY, FL, USA"
6279,"LAKE ALFRED, FL, USA"
6280,"GULFPORT, FL, USA"
6281,"LAKEWOOD RANCH, FL, USA"
6282,"CAPE HAZE, FL, USA"
6283,"EHGLEWOOD, FL, USA"
6284,"LONGBOAT KEY, FL, USA"
6285,"N. VENICE, FL, USA"
6286,"NORTHPORT, FL, USA"
6287,"redacted, IL, USA"
6288,"Minneapolis, MN, USA"
6289,"Mound, MN, USA"
6290,"Champlin, MN, USA"
6291,"Saint Paul, MN, USA"
6292,"Plymouth, MN, USA"
6293,"Deephaven, MN, USA"
6294,"Falcon Heights, MN, USA"
6295,"Northfield, MN, USA"
6296,"Belview, MN, USA"
6297,"Wabasha, MN, USA"
6298,"Biwabik, MN, USA"
6299,"Duluth, MN, USA"
6300,"Woodbury, MN, USA"
6301,"Winona, MN, USA"
6302,"Maple Grove, MN, USA"
6303,"Pine Island, MN, USA"
6304,"Shoreview, MN, USA"
6305,"Sleepy Eye, MN, USA"
6306,"New Brighton, MN, USA"
6307,"Bloomington, MN, USA"
6308,"Courtland, MN, USA"
6309,"Clearwater, MN, USA"
6310,"Mankato, MN, USA"
6311,"Saint Charles, MN, USA"
6312,"Kasota, MN, USA"
6313,"Sauk Rapids, MN, USA"
6314,"Golden Valley, MN, USA"
6315,"Stillwater, MN, USA"
6316,"Hopkins, MN, USA"
6317,"Becker, MN, USA"
6318,"Rockford, MN, USA"
6319,"Waconia, MN, USA"
6320,"Lake Elmo, MN, USA"
6321,"Columbia Heights, MN, USA"
6322,"Brooklyn Park, MN, USA"
6323,"Shafer, MN, USA"
6324,"Holdingford, MN, USA"
6325,"Wayzata, MN, USA"
6326,"Watertown, MN, USA"
6327,"Madison Lake, MN, USA"
6328,"Eagan, MN, USA"
6329,"Afton, MN, USA"
6330,"Hendricks, MN, USA"
6331,"Eden Prairie, MN, USA"
6332,"Lino Lakes, MN, USA"
6333,"Scandia, MN, USA"
6334,"Brooklyn Center, MN, USA"
6335,"Roseville, MN, USA"
6336,"Holland, MN, USA"
6337,"Lakeland, MN, USA"
6338,"Cottonwood, MN, USA"
6339,"Byron, MN, USA"
6340,"Monticello, MN, USA"
6341,"Saint Michael, MN, USA"
6342,"Minnetonka, MN, USA"
6343,"Cottage Grove, MN, USA"
6344,"Hatfield, MN, USA"
6345,"Annandale, MN, USA"
6346,"Rosemount, MN, USA"
6347,"Red Wing, MN, USA"
6348,"Pierz, MN, USA"
6349,"Morris, MN, USA"
6350,"Faribault, MN, USA"
6351,"Saint Cloud, MN, USA"
6352,"Dayton, MN, USA"
6353,"Lester Prairie, MN, USA"
6354,"Cold Spring, MN, USA"
6355,"Zumbro Falls, MN, USA"
6356,"Royalton, MN, USA"
6357,"Saint Louis Park, MN, USA"
6358,"Rogers, MN, USA"
6359,"Sartell, MN, USA"
6360,"Edina, MN, USA"
6361,"West Concord, MN, USA"
6362,"Kellogg, MN, USA"
6363,"Long Lake, MN, USA"
6364,"Excelsior, MN, USA"
6365,"Dundas, MN, USA"
6366,"Young America, MN, USA"
6367,"Saint Peter, MN, USA"
6368,"Hastings, MN, USA"
6369,"Hayfield, MN, USA"
6370,"Pipestone, MN, USA"
6371,"White Bear Lake, MN, USA"
6372,"Taylors Falls, MN, USA"
6373,"Zumbrota, MN, USA"
6374,"Dennison, MN, USA"
6375,"Albert Lea, MN, USA"
6376,"La Crescent, MN, USA"
6377,"Montrose, MN, USA"
6378,"Crystal, MN, USA"
6379,"Stacy, MN, USA"
6380,"Echo, MN, USA"
6381,"Watkins, MN, USA"
6382,"Paynesville, MN, USA"
6383,"Minnesota City, MN, USA"
6384,"Fridley, MN, USA"
6385,"Slayton, MN, USA"
6386,"Avon, MN, USA"
6387,"Lakeshore, MN, USA"
6388,"Mantorville, MN, USA"
6389,"Richfield, MN, USA"
6390,"Morristown, MN, USA"
6391,"Farmington, MN, USA"
6392,"Prior Lake, MN, USA"
6393,"Rollingstone, MN, USA"
6394,"Owatonna, MN, USA"
6395,"Mendota Heights, MN, USA"
6396,"West St Paul, MN, USA"
6397,"Altura, MN, USA"
6398,"Mounds View, MN, USA"
6399,"Lake City, MN, USA"
6400,"Maplewood, MN, USA"
6401,"Osseo, MN, USA"
6402,"Spring Lake Park, MN, USA"
6403,"Medicine Lake, MN, USA"
6404,"Jordan, MN, USA"
6405,"Canby, MN, USA"
6406,"Oakdale, MN, USA"
6407,"South Saint Paul, MN, USA"
6408,"Center City, MN, USA"
6409,"Forest Lake, MN, USA"
6410,"Mahtomedi, MN, USA"
6411,"Elysian, MN, USA"
6412,"Waltham, MN, USA"
6413,"Hugo, MN, USA"
6414,"New Prague, MN, USA"
6415,"Minneota, MN, USA"
6416,"Lauderdale, MN, USA"
6417,"Delano, MN, USA"
6418,"Plainview, MN, USA"
6419,"Inver Grove Heights, MN, USA"
6420,"West Saint Paul, MN, USA"
6421,"Kasson, MN, USA"
6422,"Waite Park, MN, USA"
6423,"Saint Paul Park, MN, USA"
6424,"Wyoming, MN, USA"
6425,"North Oaks, MN, USA"
6426,"Orono, MN, USA"
6427,"Arden Hills, MN, USA"
6428,"Renville, MN, USA"
6429,"Green Isle, MN, USA"
6430,"Saint Anthony, MN, USA"
6431,"Maple Plain, MN, USA"
6432,"Woodstock, MN, USA"
6433,"Chisago City, MN, USA"
6434,"Hampton, MN, USA"
6435,"Janesville, MN, USA"
6436,"Battle Lake, MN, USA"
6437,"Tyler, MN, USA"
6438,"Hamburg, MN, USA"
6439,"Montevideo, MN, USA"
6440,"Lakeville, MN, USA"
6441,"Glenwood, MN, USA"
6442,"Shorewood, MN, USA"
6443,"Ottertail, MN, USA"
6444,"Gibbon, MN, USA"
6445,"North Branch, MN, USA"
6446,"Albertville, MN, USA"
6447,"East Gull Lake, MN, USA"
6448,"Glencoe, MN, USA"
6449,"Waseca, MN, USA"
6450,"North Mankato, MN, USA"
6451,"Burnsville, MN, USA"
6452,"Perham, MN, USA"
6453,"Albany, MN, USA"
6454,"La Cresent, MN, USA"
6455,"Savage, MN, USA"
6456,"Ihlen, MN, USA"
6457,"South St Paul, MN, USA"
6458,"Raymond, MN, USA"
6459,"Dodge Center, MN, USA"
6460,"Lindstrom, MN, USA"
6461,"Chanhassen, MN, USA"
6462,"Rice, MN, USA"
6463,"Buffalo, MN, USA"
6464,"Dellwood, MN, USA"
6465,"Pillager, MN, USA"
6466,"Dassel, MN, USA"
6467,"Marine on Saint Croix, MN, USA"
6468,"Barnum, MN, USA"
6469,"St Louis Park, MN, USA"
6470,"Mazeppa, MN, USA"
6471,"Bemidji, MN, USA"
6472,"Maple Lake, MN, USA"
6473,"Dakota, MN, USA"
6474,"Sebeka, MN, USA"
6475,"Reads Landing, MN, USA"
6476,"Goodview, MN, USA"
6477,"Cannon Falls, MN, USA"
6478,"Elko New Market, MN, USA"
6479,"Corcoran, MN, USA"
6480,"Fergus Falls, MN, USA"
6481,"New Hope, MN, USA"
6482,"New Scandia, MN, USA"
6483,"Hermantown, MN, USA"
6484,"Little Canada, MN, USA"
6485,"Coon Rapids, MN, USA"
6486,"Tracy, MN, USA"
6487,"Vadnais Heights, MN, USA"
6488,"Ruthton, MN, USA"
6489,"Lake Benton, MN, USA"
6490,"Henning, MN, USA"
6491,"Gaylord, MN, USA"
6492,"Hokah, MN, USA"
6493,"Silver Bay, MN, USA"
6494,"Cosmos, MN, USA"
6495,"Santa Fe, NM, USA"
6496,"Albuquerque, NM, USA"
6497,"Los Alamos, NM, USA"
6498,"Rio Rancho, NM, USA"
6499,"Las Cruces, NM, USA"
6500,"Los Ranchos, NM, USA"
6501,"Ocate, NM, USA"
6502,"Silver City, NM, USA"
6503,"Los Lunas, NM, USA"
6504,"Edgewood, NM, USA"
6505,"Anthony, NM, USA"
6506,"Arroyo Hondo, NM, USA"
6507,"Taos, NM, USA"
6508,"Espanola, NM, USA"
6509,"Dixon, NM, USA"
6510,"Flora Vista, NM, USA"
6511,"Corrales, NM, USA"
6512,"-1, NM, USA"
6513,"Santa Teresa, NM, USA"
6514,"Placitas, NM, USA"
6515,"Belen, NM, USA"
6516,"El Prado, NM, USA"
6517,"Bernalillo, NM, USA"
6518,"Hanover, NM, USA"
6519,"Sandia Park, NM, USA"
6520,"Chaparral, NM, USA"
6521,"La Mesa, NM, USA"
6522,"Tijeras, NM, USA"
6523,"Alamogordo, NM, USA"
6524,"Roswell, NM, USA"
6525,"Clayton, NM, USA"
6526,"Alcade, NM, USA"
6527,"Farmington, NM, USA"
6528,"Carlsbad, NM, USA"
6529,"Gallup, NM, USA"
6530,"Bosque Farms, NM, USA"
6531,"Rio Commun, NM, USA"
6532,"Sunland Park, NM, USA"
6533,"Deming, NM, USA"
6534,"Estancia, NM, USA"
6535,"Jemez Springs, NM, USA"
6536,"Alamogorgo, NM, USA"
6537,"Glorieta, NM, USA"
6538,"Hobbs, NM, USA"
6539,"Cedar Crest, NM, USA"
6540,"Lovington, NM, USA"
6541,"Tularosa, NM, USA"
6542,"Stanley, NM, USA"
6543,"Mesilla, NM, USA"
6544,"Mesilla Park, NM, USA"
6545,"Questa, NM, USA"
6546,"Socorro, NM, USA"
6547,"Velarde, NM, USA"
6548,"Sapello, NM, USA"
6549,"Valle Escondido, NM, USA"
6550,"Las Vegas, NM, USA"
6551,"Caballo, NM, USA"
6552,"Santa FE, NM, USA"
6553,"San Lorenzo, NM, USA"
6554,"Mountainair, NM, USA"
6555,"Galisteo, NM, USA"
6556,"Cerrillos, NM, USA"
6557,"WhiteRock, NM, USA"
6558,"Chimayo, NM, USA"
6559,"White Rock, NM, USA"
6560,"Lamy, NM, USA"
6561,"Elephant Butte, NM, USA"
6562,"Albuqueque, NM, USA"
6563,"Jemez Pueblo, NM, USA"
6564,"Ribera, NM, USA"
6565,"Arroyo Seco, NM, USA"
6566,"La Luz, NM, USA"
6567,"Eagle Nest, NM, USA"
6568,"Truchas, NM, USA"
6569,"Radium Springs, NM, USA"
6570,"Peralta, NM, USA"
6571,"Tucumcari, NM, USA"
6572,"La Puebla, NM, USA"
6573,"Pecos, NM, USA"
6574,"Artesia, NM, USA"
6575,"Tyrone, NM, USA"
6576,"San Jose, NM, USA"
6577,"Cochiti Lake, NM, USA"
6578,"Los Rancho de Albuquerque, NM, USA"
6579,"Springer, NM, USA"
6580,"San Antonio, NM, USA"
6581,"Raton, NM, USA"
6582,"Abiquiu, NM, USA"
6583,"El Rito, NM, USA"
6584,"Moriarty, NM, USA"
6585,"Rodeo, NM, USA"
6586,"Mountainaire, NM, USA"
6587,"San Cristobal, NM, USA"
6588,"Ranchos de Taos, NM, USA"
6589,"Gila, NM, USA"
6590,"Corona, NM, USA"
6591,"Laguna, NM, USA"
6592,"Angel Fire, NM, USA"
6593,"Youngsville, NM, USA"
6594,"Carrizozo, NM, USA"
6595,"Los Ranchos de Alburquerque, NM, USA"
6596,"Los Ranchos de Albuquerque, NM, USA"
6597,"Hatch, NM, USA"
6598,"Aztec, NM, USA"
6599,"Albuqerque, NM, USA"
6600,"las Cruces, NM, USA"
6601,"Capitan, NM, USA"
6602,"Taos Ski Valley, NM, USA"
6603,"Fruitland, NM, USA"
6604,"Buena Vista, NM, USA"
6605,"Cloudcroft, NM, USA"
6606,"Alamorgordo, NM, USA"
6607,"santa fe, NM, USA"
6608,"Magdalena, NM, USA"
6609,"Las cruces, NM, USA"
6610,"T or C, NM, USA"
6611,"Albubuquerque, NM, USA"
6612,"Santa fe, NM, USA"
6613,"albuquerque, NM, USA"
6614,"Monticello, NM, USA"
6615,"Madrid, NM, USA"
6616,"Folsom, NM, USA"
6617,"Albququerque, NM, USA"
6618,"Clovis, NM, USA"
6619,"Valdez, NM, USA"
6620,"Truth or Consequences, NM, USA"
6621,"La Union, NM, USA"
6622,"Nambe, NM, USA"
6623,"Bosque, NM, USA"
6624,"Penasco, NM, USA"
6625,"Watrous, NM, USA"
6626,"Albuqueruque, NM, USA"
6627,"Embudo, NM, USA"
6628,"Los Ranchos de Albququerque, NM, USA"
6629,"Vadito, NM, USA"
6630,"Veguita, NM, USA"
6631,"Mile 1 Forest Road 234, NM, USA"
6632,"Chamberino, NM, USA"
6633,"Rancho de Taos, NM, USA"
6634,"las cruces, NM, USA"
6635,"alamorgordo, NM, USA"
6636,"Chamisal, NM, USA"
6637,"taos, NM, USA"
6638,"Organ, NM, USA"
6639,"Lemitar, NM, USA"
6640,"Encino, NM, USA"
6641,"San Miguel, NM, USA"
6642,"Alto, NM, USA"
6643,"Mesquite, NM, USA"
6644,"Fairacres, NM, USA"
6645,"Nogal, NM, USA"
6646,"Pinos Altos, NM, USA"
6647,"McIntosh, NM, USA"
6648,"Ruidoso, NM, USA"
6649,"Santa Clara, NM, USA"
6650,"Cliff, NM, USA"
6651,"Tesuque, NM, USA"
6652,"Williamsburg, NM, USA"
6653,"Mayhill, NM, USA"
6654,"Mora, NM, USA"
6655,"Rociada, NM, USA"
6656,"Alcalde, NM, USA"
6657,"Dona Ana, NM, USA"
6658,"San Ysidro, NM, USA"
