geopy location,coordinates
"Show Low, Navajo County, Arizona, 85901, United States","(34.2542084, -110.029832)"
"Parks, Coconino County, Arizona, 86018, United States","(35.260615, -111.9485469)"
"Somerton, Yuma County, Arizona, 85350, United States","(32.5964404, -114.709677)"
"Carefree, Maricopa County, Arizona, United States","(33.8222611, -111.918203)"
"El Mirage, Maricopa County, Arizona, 85335, United States","(33.6130338, -112.3244866)"
"Douglas, Cochise County, Arizona, 85607, United States","(31.3471741, -109.5383567)"
"Yarnell, Yavapai County, Arizona, United States","(34.23064035, -112.7496471322566)"
"Superior, Pinal County, Arizona, United States","(33.293945, -111.0962305)"
"Eloy, Pinal County, Arizona, 85131, United States","(32.7551703, -111.5534932)"
"Mayer, Yavapai County, Arizona, United States","(34.426387500000004, -112.23672324270557)"
"Ash Fork, Yavapai County, Arizona, 86320, United States","(35.216333, -112.49138580381911)"
"Paulden, Yavapai County, Arizona, United States","(34.879892999999996, -112.47709873575306)"
"Salome, La Paz County, Arizona, United States","(33.778407, -113.60405480156254)"
"Ajo, Pima County, Arizona, 85321, United States","(32.3933515, -112.90272302970297)"
"Dateland, Yuma County, Arizona, United States","(32.7964368, -113.5411489)"
"San Manuel, Pinal County, Arizona, 85631, United States","(32.6184145, -110.64814883629302)"
"Skull Valley, Yavapai County, Arizona, 86338, United States","(34.5053024, -112.6854541)"
"Ehrenberg, La Paz County, Arizona, 85334, United States","(33.616226999999995, -114.47891646902286)"
"Selingman, Yavapai County, Arizona, 86337, United States","(35.3268815, -112.8763077)"
"Congress, Maricopa County, Arizona, United States","(34.153848499999995, -112.85491907497467)"
"Youngtown, Maricopa County, Arizona, 85363, United States","(33.5937302, -112.3033265)"
"Chandler, Maricopa County, Arizona, 85225-7872, United States","(33.3061605, -111.84125)"
"Globe, Gila County, Arizona, 85501, United States","(33.3959623, -110.787134)"
"Pine, Gila County, Arizona, 85544, United States","(34.386514000000005, -111.4551432831453)"
"Desert Hills, Mohave County, Arizona, United States","(34.5546255, -114.37479084599786)"
"Wittman Plaza, Glendale, Maricopa County, Arizona, United States","(33.5238337, -112.23809214151281)"
"Tonto Basin, Gila County, Arizona, 85553, United States","(33.840994499999994, -111.30031965582725)"
"Gila Bend, Maricopa County, Arizona, United States","(32.9478267, -112.7168239)"
"1, Yavapai County, Arizona, United States","(34.82989945, -111.89601769693877)"
"Bagdad, Yavapai County, Arizona, 86321, United States","(34.57774, -113.17428445757577)"
"Red Rock / Tsé Łichííʼ Dah Azkání, Apache County, Arizona, 86544, United States","(36.6044451, -109.060653)"
"Joseph City, Navajo County, Arizona, United States","(34.9558585, -110.3339982)"
"Forest Lakes, Coconino County, Arizona, United States","(34.34438285, -110.82314153839765)"
"Holbrook, Navajo County, Arizona, United States","(34.9037063, -110.159316)"
"Bouse, La Paz County, Arizona, United States","(33.9325235, -114.0057748)"
"Peeples Valley, Yavapai County, Arizona, 86332, United States","(34.2734445, -112.76798898878505)"
"Cordes Lakes, Yavapai County, Arizona, United States","(34.308957500000005, -112.1086067691474)"
"Aguila, Maricopa County, Arizona, 85320, United States","(33.939258, -113.16563136721928)"
"Strawberry, Gila County, Arizona, United States","(34.4014435, -111.50706234594041)"
"Coolidge, Pinal County, Arizona, 85128, United States","(32.977839, -111.517624)"
"Anthem, Maricopa County, Arizona, United States","(33.857492, -112.11359410473517)"
"Miami, Gila County, Arizona, 85539, United States","(33.3994776, -110.87095)"
"Valley Farms, Pinal County, Arizona, 85191, United States","(32.9883955, -111.447344)"
"Grand Canyon, Coconino County, Arizona, United States","(36.0965604, -112.0984941)"
"Naco, Cochise County, Arizona, 85620, United States","(31.342529, -109.93635567470514)"
"Jerome, Yavapai County, Arizona, 86331, United States","(34.7471253, -112.10712645033253)"
"San Luis, Yuma County, Arizona, United States","(32.4934395, -114.7737551)"
"Arlington, Maricopa County, Arizona, United States","(33.3355685, -112.77438211284098)"
"Bellemont, Coconino County, Arizona, 86051, United States","(35.2380657, -111.8334974)"
"Munds Park, Coconino County, Arizona, 86017, United States","(34.945574, -111.6401551)"
"Tuba City, Coconino County, Arizona, 86045, United States","(36.123307, -111.24218755955015)"
"Gadsden, Yuma County, Arizona, United States","(32.5561275, -114.78072489613432)"
"Maricopa County, Arizona, United States","(33.34883, -112.49123)"
"Second Mesa, Navajo County, Arizona, 86043, United States","(35.834238049999996, -110.50142536730436)"
nan
"Hotevilla / Hotvela, Navajo County, Arizona, United States","(35.9275987, -110.671333)"
"Lake Montezuma, Rimrock, Yavapai County, Arizona, United States","(34.6426115, -111.79130678729283)"
"Gooyear Recreation Campus, Goodyear, Maricopa County, Arizona, 85338, United States","(33.440115250000005, -112.3951371703088)"
nan
nan
"Humboldt, Dewey-Humboldt, Yavapai County, Arizona, 86329, United States","(34.5009866, -112.2392022)"
"Camp Verde, Yavapai County, Arizona, United States","(34.5636358, -111.854317)"
nan
nan
"Dewey-Humboldt, Yavapai County, Arizona, 86329, United States","(34.513844500000005, -112.25601135833293)"
"Goodyear, Maricopa County, Arizona, 85395, United States","(33.4353672, -112.3576)"
"Wittmann, Maricopa County, Arizona, 85361, United States","(33.7782918, -112.5297624)"
nan
"Star Valley, Gila County, Arizona, United States","(34.261223, -111.23836180266304)"
"Old Winkleman Road, Gila County, Arizona, United States","(33.3321885, -110.7093297)"
"Peoria, Maricopa County, Arizona, 85345, United States","(33.5806115, -112.237294)"
"Holiday Inn Express Showlow, West Deuce of Clubs, Show Low, Navajo County, Arizona, 85901, United States","(34.2491663, -110.044115)"
"Spring Valley, Yavapai County, Arizona, United States","(34.350291999999996, -112.15076984118615)"
"Chino Valley, Yavapai County, Arizona, 86323, United States","(34.78357, -112.43035972408359)"
nan
"Dewey, Dewey-Humboldt, Yavapai County, Arizona, 86329, United States","(34.5275895, -112.2420702)"
"Palo Verde, Maricopa County, Arizona, 85343, United States","(33.3487145, -112.6774657)"
"Las Brisas, Chandler, Maricopa County, Arizona, United States","(33.28140165, -111.86114096479645)"
"Tempe, Maricopa County, Arizona, United States","(33.4255056, -111.9400091)"
"Sun City West, Surprise, Maricopa County, Arizona, 85375-4416, United States","(33.6657535, -112.35505216920794)"
"Phoenix, Maricopa County, Arizona, 85004-1905, United States","(33.4484367, -112.0741417)"
"Black Canyon, Cottonwood, Yavapai County, Arizona, 86316, United States","(34.6592415, -112.0521548)"
"Hayden, Gila County, Arizona, United States","(32.998027, -110.78085681694215)"
nan
nan
nan
"Claypool, Gila County, Arizona, United States","(33.4064295, -110.84306778166666)"
"Park, Cochise County, Arizona, United States","(31.355448, -110.3982805)"
nan
"Sun City West, Surprise, Maricopa County, Arizona, 85375-4416, United States","(33.6657535, -112.35505216920794)"
"Japanese Friendship Garden, North 3rd Avenue, Phoenix, Maricopa County, Arizona, 85004-1873, United States","(33.461066599999995, -112.0765637203252)"
nan
nan
nan
"Phoenix Sky Harbor International Airport, B16 Jetway, Phoenix, Maricopa County, Arizona, 85008, United States","(33.43289075, -112.00942230268426)"
"Kearny, Pinal County, Arizona, 85237, United States","(33.0570085, -110.9106656)"
"North Echo Canyon Lane, Block 3, Phoenix, Maricopa County, Arizona, 85018, United States","(33.5227229, -111.977082)"
"Benson, Cochise County, Arizona, United States","(31.9678611, -110.2945174)"
"Phoenix Sky Harbor International Airport, B16 Jetway, Phoenix, Maricopa County, Arizona, 85008, United States","(33.43289075, -112.00942230268426)"
"Yucca, Mohave County, Arizona, United States","(34.8726671, -114.1498589)"
"Littlefield, Beaver Dam, Mohave County, Arizona, 86432, United States","(36.8871992, -113.9296876)"
"North Echo Canyon Lane, Block 3, Phoenix, Maricopa County, Arizona, 85018, United States","(33.5227229, -111.977082)"
"Kearney Trail, Yavapai County, Arizona, 86342, United States","(34.613193, -111.7898585)"
nan
"Williams, Coconino County, Arizona, United States","(35.255674, -112.16397206870826)"
nan
"Litchfield, Goodyear, Maricopa County, Arizona, 85338, United States","(33.4268077, -112.3552894)"
"Wenden, La Paz County, Arizona, United States","(33.8335125, -113.54583100857519)"
nan
nan
nan
"Dewey-Humboldt, Yavapai County, Arizona, 86329, United States","(34.513844500000005, -112.25601135833293)"
"San Luis, Yuma County, Arizona, United States","(32.4934395, -114.7737551)"
"Goodyear, Maricopa County, Arizona, 85395, United States","(33.4353672, -112.3576)"
"USA Gasoline, 9080, West Olive Avenue, Westgreen Estates, Peoria, Maricopa County, Arizona, 85345-7050, United States","(33.566667800000005, -112.25461170330524)"
"Sun City, Maricopa County, Arizona, 85363, United States","(33.6290111, -112.2819337)"
"Safford, Graham County, Arizona, 85548, United States","(32.8339546, -109.70758)"
"Pizzicata USA, East Ho Road, Spanish Village, Carefree, Maricopa County, Arizona, 85377, United States","(33.8260062, -111.9235598)"
nan
"Phoenix, Maricopa County, Arizona, 85004-1905, United States","(33.4484367, -112.0741417)"
"Scottsdale, Maricopa County, Arizona, United States","(33.4942189, -111.9260184)"
"Sun City, Maricopa County, Arizona, 85363, United States","(33.6290111, -112.2819337)"
nan
"San Luis, Yuma County, Arizona, United States","(32.4934395, -114.7737551)"
"Rim Rock, Coconino County, Arizona, United States","(35.4130576, -112.7751807)"
"Surprise, Maricopa County, Arizona, 85374, United States","(33.6292271, -112.3680189)"
"Wickenberg Plant #10, Maricopa County, Arizona, United States","(33.889971149999994, -112.65702775480116)"
"Winkelman, Gila County, Arizona, United States","(32.9875659, -110.7709387)"
nan
"Casa Grande, Pinal County, Arizona, 86122, United States","(32.8795022, -111.757352)"
"Lake Havasu City, Mohave County, Arizona, 86403, United States","(34.4838502, -114.3224495)"
"Sedona, Coconino County, Arizona, United States","(34.8679599, -111.7617165)"
nan
"Tayor Hall, Tormey Drive, Flagstaff Normal Addition, Flagstaff, Coconino County, Arizona, 86001, United States","(35.192280800000006, -111.65509620464115)"
"Picacho, Pinal County, Arizona, 85231, United States","(32.716176, -111.4953971)"
"Cibola, La Paz County, Arizona, United States","(33.3758167, -114.6659991)"
"White Mountain, Gila County, Arizona, United States","(34.2703111, -111.402916)"
nan
"Bullhead City, Mohave County, Arizona, 89029, United States","(35.1477774, -114.5682983)"
"Yuma Mesa, Yuma, Yuma County, Arizona, 85365-1213, United States","(32.6659514, -114.5593505)"
"Black Canyon Court, Canada Hills - Village, Oro Valley, Pima County, Arizona, 85737, United States","(32.4056826, -111.0058886)"
"41883 E. Torbalita Trail, Marana, AZ, Pinal County, Arizona, United States","(32.54108225, -111.12036381614175)"
nan
"Arizona City, Pinal County, Arizona, United States","(32.748400000000004, -111.67590514853674)"
"Goodyear, Maricopa County, Arizona, 85395, United States","(33.4353672, -112.3576)"
"Morristown, Maricopa County, Arizona, United States","(33.8562535, -112.61451849802984)"
nan
"Carefree, Maricopa County, Arizona, United States","(33.8222611, -111.918203)"
"Arivaca, Pima County, Arizona, 85601, United States","(31.5769832, -111.3306751)"
"Maricopa County, Arizona, United States","(33.34883, -112.49123)"
nan
"San Carlos, San Carlos / Sengaah, Gila County, Arizona, United States","(33.350750000000005, -110.46703014380023)"
"SU, West Catalina Drive, Encanto, Phoenix, Maricopa County, Arizona, 85013-4224, United States","(33.48261035, -112.08800989868541)"
"Quartzite Mountain, Graham County, Arizona, United States","(33.0514501, -110.3598155)"
"Pima County, Arizona, United States","(32.1112624, -111.6546163)"
"Sedona, Coconino County, Arizona, United States","(34.8679599, -111.7617165)"
"Pirtleville, Cochise County, Arizona, United States","(31.3612235, -109.56666055276185)"
nan
"Whipple, Prescott, Yavapai County, Arizona, 86313, United States","(34.5566909, -112.4496132)"
nan
"Northern Arizona VA Health Care System: Flagstaff CBOC, 1300, West University Avenue, Flagstaff, Coconino County, Arizona, 86001, United States","(35.1846438, -111.6722488)"
"Keams Canyon, Keams Canyon / Pongsikya, Navajo County, Arizona, United States","(35.816717, -110.16223715908382)"
nan
"Madison, New Haven County, Connecticut, 06443, United States","(41.2794282, -72.5983151)"
"Old Lyme, New London County, Connecticut, United States","(41.3159315, -72.3289715)"
"Barkhamsted, Litchfield County, Connecticut, United States","(41.9292629, -72.9139904)"
"Milford, New Haven County, Connecticut, United States","(41.2222218, -73.0570603)"
"Westbrook, Middlesex County, Connecticut, 06498, United States","(41.285377, -72.4475874)"
"Washington Depot, Washington, Litchfield County, Connecticut, 06792, United States","(41.6404914, -73.3190148)"
"Middlefield, Middlesex County, Connecticut, United States","(41.5165161, -72.7120793)"
"Wolcott, New Haven County, Connecticut, United States","(41.6023196, -72.9867718)"
"Middletown, Middlesex County, Connecticut, United States","(41.5623178, -72.6509061)"
"Sherman, Fairfield County, Connecticut, United States","(41.5792607, -73.4956795)"
"New Milford, Litchfield County, Connecticut, United States","(41.5770993, -73.4105803)"
"Oxford, New Haven County, Connecticut, United States","(41.4351795, -73.1172769)"
"Avon, Hartford County, Connecticut, United States","(41.8098209, -72.8306541)"
"Greenwich, Fairfield County, Connecticut, United States","(41.0264862, -73.6284598)"
"Ansonia, New Haven County, Connecticut, United States","(41.3429922, -73.0787468)"
"Columbia, Tolland County, Connecticut, 06237, United States","(41.7020432, -72.3011917)"
"Eastford, Windham County, Connecticut, United States","(41.902068, -72.0799095)"
"Fairfield, Fairfield County, Connecticut, United States","(41.1412078, -73.2637258)"
"Branford, New Haven County, Connecticut, United States","(41.2795414, -72.8150989)"
"Newtown, Fairfield County, Connecticut, United States","(41.412387, -73.31153913634024)"
"Ridgefield, Fairfield County, Connecticut, 06877, United States","(41.2814842, -73.4981792)"
"Danielson, Killingly, Windham County, Connecticut, 06239, United States","(41.8025986, -71.8859054)"
"Bethlehem, Litchfield County, Connecticut, 06751, United States","(41.6393626, -73.2080798)"
"East Windsor, Hartford County, Connecticut, United States","(41.9156316, -72.6130726)"
"New Canaan, Fairfield County, Connecticut, 06840, United States","(41.146763, -73.4948446)"
"Stamford, Fairfield County, Connecticut, United States","(41.0534302, -73.5387341)"
"Pawcatuck, New London County, Connecticut, 06379, United States","(41.3766695, -71.84612335442205)"
"Union, Tolland County, Connecticut, United States","(41.9909296, -72.1572992)"
"East Haven, New Haven County, Connecticut, United States","(41.2762081, -72.8684337)"
"Coventry, Tolland County, Connecticut, United States","(41.7700987, -72.3050803)"
"Monroe, Fairfield County, Connecticut, United States","(41.3325962, -73.2073358)"
"Tolland, Tolland County, Connecticut, 06084, United States","(41.8700166, -72.3677153)"
"Stonington, New London County, Connecticut, United States","(41.3359327, -71.9059042)"
"North Stonington, New London County, Connecticut, United States","(41.4411845, -71.8812698)"
"Waterford, New London County, Connecticut, 06385, United States","(41.358659, -72.1519367)"
"Chaplin, Windham County, Connecticut, United States","(41.7948205, -72.1272989)"
"Newington, Hartford County, Connecticut, United States","(41.6978777, -72.7237063)"
"Shelton, Fairfield County, Connecticut, United States","(41.3164856, -73.0931641)"
"Harwinton, Litchfield County, Connecticut, 06791, United States","(41.7712085, -73.05983)"
"West Willington, Willington, Tolland County, Connecticut, 06279, United States","(41.8812085, -72.3020246)"
"Bristol, Hartford County, Connecticut, United States","(41.6735209, -72.9464859)"
"West Haven, New Haven County, Connecticut, United States","(41.2706527, -72.9470471)"
"Farmington, Hartford County, Connecticut, United States","(41.7198216, -72.8320435)"
"Andover, Tolland County, Connecticut, 06232, United States","(41.7373212, -72.37036)"
"Vernon, Tolland County, Connecticut, United States","(41.8382921, -72.4663331)"
"Manchester, Hartford County, Connecticut, United States","(41.7834017, -72.5231973)"
"Niantic, East Lyme, New London County, Connecticut, United States","(41.32127855, -72.19335673628396)"
"Lebanon, New London County, Connecticut, United States","(41.6362097, -72.2125789)"
"Thompson, Windham County, Connecticut, United States","(41.9587089, -71.8625715)"
"New Fairfield, Fairfield County, Connecticut, 06812, United States","(41.4664832, -73.4856789)"
"New Britain, Hartford County, Connecticut, United States","(41.6612104, -72.7795419)"
"West Simsbury, Collinsville, Simsbury, Hartford County, Connecticut, 06092, United States","(41.875887500000005, -72.8432752649851)"
"Hampton, Windham County, Connecticut, 06247, United States","(41.7839873, -72.0547977)"
"Sandy Hook, Newtown, Fairfield County, Connecticut, 06482, United States","(41.4200956, -73.2820608)"
"Woodstock, Windham County, Connecticut, United States","(41.9484307, -71.9739626)"
"Danbury, Fairfield County, Connecticut, United States","(41.394817, -73.4540111)"
"Somers, Tolland County, Connecticut, 06071, United States","(41.9853742, -72.4461952)"
"Colchester, New London County, Connecticut, United States","(41.579503, -72.341581249226)"
"Torrington, Litchfield County, Connecticut, United States","(41.8006523, -73.1212214)"
"South Windsor, Hartford County, Connecticut, United States","(41.8489872, -72.5717551)"
"Brookfield, Fairfield County, Connecticut, 06804, United States","(41.4825947, -73.4095652)"
"Derby, New Haven County, Connecticut, United States","(41.3223611, -73.0890324)"
"Bridgeport, Fairfield County, Connecticut, United States","(41.1670412, -73.2048348)"
"Orange, New Haven County, Connecticut, 06477, United States","(41.2784304, -73.0256609)"
"Roxbury, Litchfield County, Connecticut, 06783, United States","(41.5568282, -73.3088922)"
"Cheshire, New Haven County, Connecticut, 06410, United States","(41.4989861, -72.900658)"
"Plainville, Hartford County, Connecticut, 06062, United States","(41.6711395, -72.8672429)"
"Durham, Middlesex County, Connecticut, 06422, United States","(41.4817647, -72.6812059)"
"Westport, Fairfield County, Connecticut, 06880, United States","(41.1414855, -73.3578955)"
"Trumbull, Fairfield County, Connecticut, United States","(41.2428742, -73.2006687)"
"Stafford Springs, Stafford, Tolland County, Connecticut, United States","(41.9622362, -72.3128198589965)"
"Middletown, Middlesex County, Connecticut, United States","(41.5623178, -72.6509061)"
"Baltic, Sprague, New London County, Connecticut, 06330, United States","(41.6170428, -72.0845212)"
"East Hartford, Hartford County, Connecticut, United States","(41.7823216, -72.6120346)"
"Lyme, New London County, Connecticut, 06371:06423, United States","(41.3910989, -72.35115313007137)"
"Salem, New London County, Connecticut, United States","(41.491269, -72.2762084)"
"Wethersfield, Hartford County, Connecticut, 06109, United States","(41.7142665, -72.6525922)"
"Stratford, Fairfield County, Connecticut, United States","(41.1845415, -73.1331651)"
"Higganum, Haddam, Middlesex County, Connecticut, United States","(41.485547499999996, -72.54889997238658)"
"Guilford, New Haven County, Connecticut, United States","(41.2889866, -72.6817616)"
"Hamden, New Haven County, Connecticut, United States","(41.3959287, -72.8968716)"
"Southington, Hartford County, Connecticut, United States","(41.6005435, -72.8782941)"
"Canton, Hartford County, Connecticut, United States","(41.8245424, -72.8937122)"
"Portland, Middlesex County, Connecticut, 06480, United States","(41.5728924, -72.6406905)"
"North Franklin, Franklin, New London County, Connecticut, 06254, United States","(41.6334318, -72.1634114)"
"Seymour, New Haven County, Connecticut, 06483, United States","(41.3943578, -73.0741697)"
"Storrs, Mansfield, Tolland County, Connecticut, United States","(41.80564555, -72.25413294148728)"
"Woodbridge, New Haven County, Connecticut, United States","(41.352597, -73.0084385)"
"Brooklyn, Windham County, Connecticut, United States","(41.7881541, -71.9497957)"
"East Haddam, Middlesex County, Connecticut, United States","(41.4529215, -72.4613902)"
"South Kent, Kent, Litchfield County, Connecticut, 06785, United States","(41.6795386, -73.470679)"
"Ivoryton, Essex, Middlesex County, Connecticut, 06442, United States","(41.3485261, -72.4416552)"
"New Haven, New Haven County, Connecticut, United States","(41.3082138, -72.9250518)"
"Plymouth, Litchfield County, Connecticut, United States","(41.6720418, -73.0528853)"
"Kent, Litchfield County, Connecticut, United States","(41.724646, -73.4770859)"
"Goshen, Litchfield County, Connecticut, 06756, United States","(41.8317624, -73.2251145)"
"Marlborough, Hartford County, Connecticut, 06447, United States","(41.631488, -72.459808)"
"Middlebury, New Haven County, Connecticut, 06762, United States","(41.5278742, -73.1276107)"
"Wilton, Fairfield County, Connecticut, United States","(41.1953739, -73.4378988)"
"Mansfield, Tolland County, Connecticut, United States","(41.7782147, -72.2131565)"
"Thomaston, Litchfield County, Connecticut, 06787, United States","(41.6739862, -73.073164)"
"Ellington, Tolland County, Connecticut, 06029, United States","(41.9039863, -72.4698071)"
"New Hartford, Litchfield County, Connecticut, United States","(41.8823187, -72.9770488)"
"Bloomfield, Hartford County, Connecticut, 06002, United States","(41.826488, -72.7300945)"
"Mystic, Stonington, New London County, Connecticut, 06355, United States","(41.3576184, -71.95637624049274)"
"New Milford, Litchfield County, Connecticut, United States","(41.5770993, -73.4105803)"
"Westport, Fairfield County, Connecticut, 06880, United States","(41.1414855, -73.3578955)"
"Willimantic, Windham, Windham County, Connecticut, 06226, United States","(41.713125, -72.217885)"
"Bethany, New Haven County, Connecticut, United States","(41.4217637, -72.9970496)"
"Simsbury, Hartford County, Connecticut, United States","(41.8759152, -72.8012211)"
"Berlin, Hartford County, Connecticut, United States","(41.621488, -72.7456519)"
"Mansfield, Tolland County, Connecticut, United States","(41.7782147, -72.2131565)"
"Southport, Fairfield, Fairfield County, Connecticut, 06890-1496, United States","(41.1364856, -73.2834486)"
"Bethel, Fairfield County, Connecticut, 06801, United States","(41.372643, -73.412668)"
"South Glastonbury, Glastonbury, Hartford County, Connecticut, 06073, United States","(41.6665303, -72.6028252)"
"Hebron, Tolland County, Connecticut, United States","(41.6578767, -72.3659161)"
"West Hartford, Hartford County, Connecticut, United States","(41.7620447, -72.7420399)"
"Canaan, Litchfield County, Connecticut, 06031, United States","(41.9616667, -73.3083333)"
"Mansfield Center, Mansfield, Tolland County, Connecticut, 06250, United States","(41.7653764, -72.1981334)"
"Rocky Hill, Hartford County, Connecticut, 06067, United States","(41.6648216, -72.6392587)"
"Voluntown, New London County, Connecticut, United States","(41.5706544, -71.8703497)"
"New London, New London County, Connecticut, 06320, United States","(41.3556187, -72.0997804)"
"Clinton, Middlesex County, Connecticut, United States","(41.2756115, -72.52853197757256)"
"Pomfret Center, Pomfret, Windham County, Connecticut, 06258, United States","(41.88732, -71.962018)"
"Terryville, Plymouth, Litchfield County, Connecticut, United States","(41.6777725, -73.00785330796569)"
"Southbury, New Haven County, Connecticut, United States","(41.4814848, -73.2131693)"
"Bolton, Tolland County, Connecticut, United States","(41.7689878, -72.4334173)"
"Lisbon, New London County, Connecticut, 06351-3253, United States","(41.5866851, -72.0207809)"
"Suffield, Hartford County, Connecticut, United States","(41.9816944, -72.6506604)"
"Danbury, Fairfield County, Connecticut, United States","(41.394817, -73.4540111)"
"Norwalk, Fairfield County, Connecticut, United States","(41.1175966, -73.4078968)"
"Griswold, New London County, Connecticut, United States","(41.6035026, -71.9622443)"
"Litchfield, Litchfield County, Connecticut, United States","(41.747319, -73.1887243)"
"North Haven, New Haven County, Connecticut, 06473, United States","(41.3909305, -72.859545)"
"Central Village, Plainfield, Windham County, Connecticut, 06332, United States","(41.7227671, -71.9068859)"
"Lakeville, Salisbury, Litchfield County, Connecticut, 06039, United States","(41.9645371, -73.4401214)"
"Darien, Fairfield County, Connecticut, 06820, United States","(41.0787079, -73.4692873)"
"Quaker Hill, Waterford, New London County, Connecticut, 06375, United States","(41.4036987, -72.1061564)"
"East Hampton, Middlesex County, Connecticut, 06424, United States","(41.5744405, -72.49192364130434)"
"East Windsor, Hartford County, Connecticut, United States","(41.9156316, -72.6130726)"
"Uncasville, Montville, New London County, Connecticut, 06382, United States","(41.4345426, -72.1097996)"
"Morris, Litchfield County, Connecticut, United States","(41.6842633, -73.1962245)"
"Woodbury, Litchfield County, Connecticut, 06798, United States","(41.5445404, -73.2090025)"
"Ledyard, New London County, Connecticut, United States","(41.4386053, -72.0175193)"
"Plantsville, Southington, Hartford County, Connecticut, 06479, United States","(41.583709, -72.8923241)"
"Haddam, Middlesex County, Connecticut, United States","(41.4773213, -72.5120333)"
"Dayville, Killingly, Windham County, Connecticut, United States","(41.8464872, -71.8875721)"
"Amston, Hebron, Tolland County, Connecticut, 06231:06249, United States","(41.625348, -72.3427569)"
"Baltic, Sprague, New London County, Connecticut, 06330, United States","(41.6170428, -72.0845212)"
